Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2025;2.500.942.812;1.140.591.528;557.919.816;2.296.928.038;1.904.144.152;204.014.774;11.133.252;224.092.080;15,64%;17,05%;1.990;1.153
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2025;2.420.957.196;1.121.917.903;520.334.985;2.245.377.781;1.923.933.475;175.579.414;6.813.372;190.119.483;14,14%;16,47%;4.006;483
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2025;2.088.664.934;1.213.628.393;304.404.859;1.984.164.503;1.794.405.717;104.500.431;5.387.708;134.270.368;15,26%;10,43%;3.257;888
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2025;1.674.151.469;811.232.200;281.497.794;1.506.987.571;1.295.114.138;167.163.898;5.825.963;160.025.250;15,45%;25,01%;2.337;876
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2025;1.263.098.847;534.403.936;254.818.844;1.163.717.282;950.952.347;99.381.565;3.959.230;104.115.838;14,34%;19,18%;2.408;1.544
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2025;860.078.816;366.000.556;200.956.545;691.858.179;550.583.303;168.220.636;5.617.809;197.262.481;28,61%;1,18%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2025;572.974.709;182.611.070;138.799.115;507.924.228;389.991.810;65.050.482;3.208.670;73.909.798;15,68%;29,55%;65;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2025;285.285.035;29.695.090;148.313.300;273.525.961;197.207.708;11.759.074;256.370;11.709.689;13,28%;37,56%;14;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2025;258.128.494;128.844.094;53.113.952;238.813.935;194.022.723;19.314.559;984.175;29.471.350;17,92%;23,42%;182;6
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;3;SAO PAULO;SP;03/2025;244.397.957;106.770.118;51.536.064;225.511.084;155.870.730;18.886.873;2.866.519;22.830.432;16,86%;NA%;6;0
