Banco,Cluster
A55 SCD - PRUDENCIAL,1
ABC-BRASIL - PRUDENCIAL,1
ACCREDITO SOCIEDADE DE CREDITO DIRETO - PRUDENCIAL,1
AF DESENVOLVE SP S.A. - PRUDENCIAL,1
AF DO ESTADO DE SC S.A. - PRUDENCIAL,1
AF ESTADO DE PERNAMBUCO S.A. - PRUDENCIAL,1
AF PARANÁ - PRUDENCIAL,1
AFAL - PRUDENCIAL,1
AFEAM - PRUDENCIAL,1
AG. FOMENTO ESTADO DE RORAIMA - PRUDENCIAL,1
AG. FOMENTO ESTADO DO TOCANTINS - PRUDENCIAL,1
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,1
AGIBANK - PRUDENCIAL,1
AGORACRED S/A SCFI - PRUDENCIAL,1
AGROLEND SCFI - PRUDENCIAL,1
AGÊNCIA DE FOMENTO MATO GROSSO - PRUDENCIAL,1
ALL IN CRED SCD - PRUDENCIAL,1
APE POUPEX - PRUDENCIAL,1
ARTTA SCD PRUDENCIAL,1
ASA SCD - PRUDENCIAL,1
ATF SCD - PRUDENCIAL,1
ATICCA SCD PRUDENCIAL,1
ATLANTA SCM LTDA - PRUDENCIAL,1
ATRIA S.A. - CFI - PRUDENCIAL,1
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL,1
BAMAQ CAPITAL SCD - PRUDENCIAL,1
BANCO B3 - PRUDENCIAL,1
BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,1
BANCO C6 - PRUDENCIAL,1
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,1
BANCO DIGIMAIS - PRUDENCIAL,1
BANCO HSBC - PRUDENCIAL,1
BANCO IBM S.A. - PRUDENCIAL,1
BANCO KOMATSU DO BRASIL - PRUDENCIAL,1
BANCO MASTER - PRUDENCIAL,1
BANCO MONEO S.A. - PRUDENCIAL,1
BANCO PACCAR - PRUDENCIAL,1
BANCO PAULISTA - PRUDENCIAL,1
BANCO PORTO REAL DE INVEST.S.A - PRUDENCIAL,1
BANCO RIBEIRÃO PRETO - PRUDENCIAL,1
BANCO RNX S.A. - PRUDENCIAL,1
BANCO SEMEAR - PRUDENCIAL,1
BANCO TOPÁZIO S.A. - PRUDENCIAL,1
BANCO XCMG BRASIL - PRUDENCIAL,1
BANCOOB - PRUDENCIAL,1
BANESTES - PRUDENCIAL,1
BANK OF CHINA (BRASIL) - PRUDENCIAL,1
BANRISUL - PRUDENCIAL,1
BANSUR JM SCD - PRUDENCIAL,1
BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO,1
BARU SCD - PRUDENCIAL,1
BBC S.A. - PRUDENCIAL,1
BBVA BRASIL BI S.A. - PRUDENCIAL,1
BCO ABN AMRO CLEARING - PRUDENCIAL,1
BCO CARGILL S.A. - PRUDENCIAL,1
BCO CATERPILLAR S.A. - PRUDENCIAL,1
BCO CEDULA S.A. - PRUDENCIAL,1
BCO CLASSICO S.A. - PRUDENCIAL,1
BCO COOPERATIVO SICREDI - PRUDENCIAL,1
BCO CSF S.A. - PRUDENCIAL,1
BCO DA AMAZONIA S.A. - PRUDENCIAL,1
BCO DAYCOVAL S.A - PRUDENCIAL,1
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL,1
BCO DES. DE MG S.A. - PRUDENCIAL,1
BCO DES. DO ES S.A. - PRUDENCIAL,1
BCO DO EST. DE SE S.A. - PRUDENCIAL,1
BCO DO EST. DO PA S.A. - PRUDENCIAL,1
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,1
BCO FIBRA S.A. - PRUDENCIAL,1
BCO GUANABARA S.A. - PRUDENCIAL,1
BCO INBURSA S.A. - PRUDENCIAL,1
BCO INDUSCRED DE INVESTIM. S/A - PRUDENCIAL,1
BCO KDB BRASIL S.A. - PRUDENCIAL,1
BCO KEB DO BRASIL SA - PRUDENCIAL,1
BCO LUSO BRASILEIRO S.A. - PRUDENCIAL,1
BCO MUFG BRASIL S.A. - PRUDENCIAL,1
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,1
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,1
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1
BCO TRICURY S.A. - PRUDENCIAL,1
BCO WOORI BANK DO BRASIL S.A. - PRUDENCIAL,1
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,1
BEZZ SCD - PRUDENCIAL,1
BFC SCD - PRUDENCIAL,1
BIGCASH SCD - PRUDENCIAL,1
BIZCAPITAL SCD - PRUDENCIAL,1
BMG - PRUDENCIAL,1
BMP SCMEPP LTDA - PRUDENCIAL,1
BMS SCD - PRUDENCIAL,1
BMW - PRUDENCIAL,1
BNDES - PRUDENCIAL,1
BNK DIGITAL SCD - PRUDENCIAL,1
BNP PARIBAS - PRUDENCIAL,1
BNY MELLON - PRUDENCIAL,1
BOCOM - PRUDENCIAL,1
BOFA MERRILL LYNCH - PRUDENCIAL,1
BONUSPAGO SCD - PRUDENCIAL,1
BR PARTNERS - PRUDENCIAL,1
BRAZA BANK BCO CÂMBIO - PRUDENCIAL,1
BRB - PRUDENCIAL,1
BRCARD SCD - PRUDENCIAL,1
BRCONDOS SCD - PRUDENCIAL,1
BS2 - PRUDENCIAL,1
BTG PACTUAL - PRUDENCIAL,1
C&A PAY SCD - PRUDENCIAL,1
CAIXA GERAL - PRUDENCIAL,1
CAPITAL CONSIG SCD - PRUDENCIAL,1
CARTOS SCD - PRUDENCIAL,1
CASA CREDITO S.A. SCM - PRUDENCIAL,1
CDC SCD - PRUDENCIAL,1
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB,1
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP,1
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO NORDESTE - SICOOB CENTRAL NE,1
